id,bone_length,rotting_flesh,hair_length,has_soul,color,type
0,0.3545121845821541,0.35083902671065,0.4657608918291205,0.78114166586219,clear,Ghoul
1,0.5755599050254655,0.4258684322105845,0.5314013787091408,0.439898877037289,green,Goblin
2,0.467875498742323,0.3543304203917748,0.8116160896689244,0.791224973337769,black,Ghoul
4,0.776652460655474,0.5087225499432287,0.6367655799597881,0.8844636920976973,black,Ghoul
5,0.56611660205779,0.8758617955062562,0.4185936708748796,0.6364378187279373,green,Ghost
7,0.405679744891883,0.253277496666039,0.4414196710726872,0.2803238199213896,green,Goblin
8,0.399330850860438,0.5689517671030597,0.6183910202674578,0.4679008345210921,white,Goblin
11,0.5162238981116547,0.5364287456984622,0.6127761465851604,0.4680482696484728,clear,Ghoul
12,0.3142952759201916,0.6712796900808566,0.4172669166262837,0.2275475750972251,blue,Ghost
19,0.2809417440979105,0.7014574929942134,0.1796332951168527,0.1411826507100036,white,Ghost
22,0.4316852133394812,0.4389592731593482,0.2392124879973941,0.4718195627187505,clear,Goblin
23,0.584543226402469,0.5930819356156424,0.6811657623420384,0.9357213331107028,clear,Ghoul
25,0.3907121285960714,0.3350693972625707,0.5561094618022101,0.7842165804203274,white,Ghoul
27,0.3515586720944532,0.4710781716572552,0.4844577817226679,0.4653278802844954,black,Goblin
28,0.5133872213931538,0.3013447615817322,0.7456755654684397,0.5457922990384892,clear,Goblin
29,0.5001965520236578,0.4384181454387683,0.5325298147689491,0.6655224296568855,clear,Ghoul
30,0.2507699997704333,0.2462576855648545,0.5546544421413162,0.2500355193334616,black,Ghost
31,0.5855593168709793,0.585938618841321,1.0,0.708691750060939,black,Ghoul
32,0.6058359561481175,0.5879431786674414,0.529361248889943,0.5267176472227212,blue,Ghoul
34,0.5240803802397399,0.750988138270072,0.5246370241727257,0.4433583431154124,green,Ghost
35,0.503164057832666,0.464055333613106,0.4977828029510476,0.4720310491885279,clear,Goblin
36,0.4726032938231003,0.4271505454280777,0.5901301905716715,0.3564882329332289,white,Ghoul
